case,region,window_index,window_radius_mm,fine_mean_vm_mpa,coarse_mean_vm_mpa,mean_vm_change_pct,sampled_volume_change_pct
medium_rounded,inner_insert_boss,1,10.0,22.394758221538797,22.565312772916812,-0.7558262236130653,-4.715900195679145
medium_rounded,inner_insert_boss,2,10.0,22.507644168474666,22.536371769135087,-0.12747216346405965,0.5298271705677537
medium_rounded,inner_insert_boss,3,10.0,22.262341546986633,22.477747078867868,-0.9583057017477747,-0.272379188054761
medium_rounded,inner_insert_boss,4,10.0,22.436065753139662,22.289811210619362,0.6561497589114618,6.816427782441892
medium_rounded,unweighted_hub,1,5.0,6.524444335789213,6.479705972841025,0.6904381639491808,-0.8277362761664575
medium_rounded,unweighted_hub,2,5.0,6.504368880438918,6.422916124973474,1.2681584794286938,-4.179130534282027
medium_rounded,unweighted_hub,3,5.0,6.48040209095056,6.445349136905357,0.5438488016807907,-2.3645049841558574
medium_rounded,unweighted_hub,4,5.0,6.481796794904188,6.336097080108329,2.2995183462903634,-10.452594474444554
medium_rounded,unweighted_hub,1,10.0,7.928421698935033,8.105038597040057,-2.179100025131586,2.187177131935436
medium_rounded,unweighted_hub,2,10.0,7.928037157354824,7.908469122866625,0.24743138253673358,-0.8516083353206749
medium_rounded,unweighted_hub,3,10.0,7.881983769561553,7.863999467314872,0.22869154965523553,-3.0226736890799133
medium_rounded,unweighted_hub,4,10.0,7.794397302275657,8.083193678555784,-3.572800402473164,3.0998643197611697
medium_rounded,unweighted_rim,1,5.0,3.0700878214773923,2.982503322084678,2.9366102878804368,4.581674282548676
medium_rounded,unweighted_rim,2,5.0,3.199284113126806,3.5607300840722718,-10.150894968486169,36.70629367893865
medium_rounded,unweighted_rim,3,5.0,3.2055519437622086,3.391119312432639,-5.472156877232159,-12.054417769044356
medium_rounded,unweighted_rim,4,5.0,3.3818569287112012,3.208670457442546,5.397452732079322,0.43670097448191836
medium_rounded,unweighted_rim,1,10.0,3.4448361948253607,3.515479655864569,-2.009497080188183,-0.6861439582037443
medium_rounded,unweighted_rim,2,10.0,3.4821154017742604,3.3728478023851105,3.2396243705951067,9.7316286405005
medium_rounded,unweighted_rim,3,10.0,3.4098071290287004,3.4897833407070475,-2.291724266817763,-1.6951948595564592
medium_rounded,unweighted_rim,4,10.0,3.3792263248244288,3.5543065480656097,-4.925861651873175,-3.6015477195863843
medium_rounded,midarc_rim,1,5.0,6.048812271237863,5.8788403172589705,2.8912497160348494,30.467523736960757
medium_rounded,midarc_rim,2,5.0,5.915297918347588,5.87896616668076,0.617995590325715,42.41274980508991
medium_rounded,midarc_rim,3,5.0,5.915234635606778,5.878755117183494,0.6205313488336195,42.414135132886656
medium_rounded,midarc_rim,4,5.0,6.186042128269369,5.878965593373981,5.223308931106607,3.742713517931051
medium_rounded,midarc_rim,1,10.0,5.8410745448576815,5.912393078413705,-1.2062549395845945,-8.774908089356682
medium_rounded,midarc_rim,2,10.0,5.908802525511412,5.9125068715551246,-0.06265271439318543,-8.079434037619858
medium_rounded,midarc_rim,3,10.0,5.908709502921338,5.91233961371356,-0.061398888247254924,-8.078848049617982
medium_rounded,midarc_rim,4,10.0,5.816832346593089,5.912486259764019,-1.6178289296311599,-11.414917577490858
wide_rounded,weighted_hub,1,5.0,21.394985139879413,21.358173757155374,0.17235266995478948,-0.7280278611090152
wide_rounded,weighted_hub,2,5.0,21.512512729442463,21.500434978421175,0.05617444964909346,9.903773011123484
wide_rounded,weighted_hub,3,5.0,21.259575272911498,21.4209056465683,-0.7531445043391427,0.7829231387414204
wide_rounded,weighted_hub,4,5.0,21.46773650847115,21.168010697220627,1.4159375462233559,-1.817496551280584
wide_rounded,weighted_hub,1,10.0,17.48441351372395,17.321315602557746,0.9416023292256215,-2.256668547608476
wide_rounded,weighted_hub,2,10.0,17.394658259246086,17.42086405805059,-0.15042766373228877,-2.850549891807641
wide_rounded,weighted_hub,3,10.0,17.578250947526545,17.47790498953332,0.5741303551730859,1.0380989179294087
wide_rounded,weighted_hub,4,10.0,17.209476427008653,17.600786088721243,-2.2232510510615477,3.3097771314326563
wide_rounded,inner_insert_boss,1,5.0,18.45418206580243,18.44595600439701,0.0445954734114018,1.7475942585251536
wide_rounded,inner_insert_boss,2,5.0,18.532969000218806,18.411988166717098,0.6570764243722493,-6.7233628751888315
wide_rounded,inner_insert_boss,3,5.0,18.013090321497657,18.71365918713885,-3.7436230864066666,3.334900829351395
wide_rounded,inner_insert_boss,4,5.0,18.34900005956838,18.362657742194163,-0.07437748291959645,6.397757892386058
wide_rounded,inner_insert_boss,1,10.0,16.05773783759644,16.14262337316257,-0.5258472158078953,-2.7291787971831183
wide_rounded,inner_insert_boss,2,10.0,15.87862234818871,15.875769457225218,0.01797009569317609,-1.135761069578256
wide_rounded,inner_insert_boss,3,10.0,16.14305611920901,15.920178651146726,1.3999683856954048,4.9626569358064865
wide_rounded,inner_insert_boss,4,10.0,16.107238070967277,15.999760783584097,0.6717430893932619,2.4837411481798854
wide_rounded,unweighted_hub,1,5.0,14.545597036414048,14.604903357864092,-0.4060713035674457,-2.005923284869948
wide_rounded,unweighted_hub,2,5.0,14.96012169306956,15.431463816373867,-3.0544226323116597,5.531156743490229
wide_rounded,unweighted_hub,3,5.0,14.585628461920106,15.298796763110012,-4.661597328422385,5.651482804797969
wide_rounded,unweighted_hub,4,5.0,15.034915953286918,14.835262741564614,1.3458016565013553,2.416146084024029
wide_rounded,unweighted_hub,1,10.0,13.995028625477682,14.286855674869736,-2.0426261455511963,2.2710204747203644
wide_rounded,unweighted_hub,2,10.0,14.231745784503742,13.47887203242212,5.585584240807817,-4.596348265108197
wide_rounded,unweighted_hub,3,10.0,14.043086423949802,14.049286703651871,-0.04413234517064435,-0.43860820481340657
wide_rounded,unweighted_hub,4,10.0,13.783099454358332,14.02706332843114,-1.739236990385029,6.657830351234462
