case,mesh,region,window_index,window_radius_mm,center_x_mm,center_y_mm,sampled_volume_mm3,sample_count,mean_vm_mpa,vm_of_mean_tensor_mpa
medium_rounded,0.013,unweighted_hub,2,10.0,-15.0,25.98076211353316,4072.2977017500984,8313,7.928037157354824,7.433992348823023
medium_rounded,0.013,unweighted_hub,3,10.0,15.0,-25.98076211353316,4062.7811268311434,9020,7.881983769561553,7.393036095224939
medium_rounded,0.013,unweighted_hub,4,10.0,15.0,25.98076211353316,4111.9431515941205,8294,7.794397302275657,7.289034465481893
medium_rounded,0.013,unweighted_rim,1,5.0,-15.0,-229.51034835057,1286.4527644726186,78,3.0700878214773923,2.9835038421297004
medium_rounded,0.013,unweighted_rim,2,5.0,-15.0,229.51034835057,1350.1692927019876,83,3.199284113126806,3.0972842510614984
medium_rounded,0.013,unweighted_rim,3,5.0,15.0,-229.51034835057,1125.9454524589842,69,3.2055519437622086,3.0907832028162736
medium_rounded,0.013,unweighted_rim,4,5.0,15.0,229.51034835057,1251.5171036200566,86,3.3818569287112012,3.269332465814691
medium_rounded,0.013,unweighted_rim,1,10.0,-15.0,-229.51034835057,4675.754836769687,170,3.4448361948253607,3.3422096580578047
medium_rounded,0.013,unweighted_rim,2,10.0,-15.0,229.51034835057,5284.723738393887,201,3.4821154017742604,3.3677994913603593
medium_rounded,0.013,unweighted_rim,3,10.0,15.0,-229.51034835057,4809.84665611593,169,3.4098071290287004,3.293927620264498
medium_rounded,0.013,unweighted_rim,4,10.0,15.0,229.51034835057,4760.9415243272,221,3.3792263248244288,3.277589786443014
medium_rounded,0.013,midarc_rim,1,5.0,169.7056274847714,169.70562748477138,1527.3909018152792,17,6.048812271237863,6.04819166574163
medium_rounded,0.013,midarc_rim,2,5.0,-169.70562748477138,169.7056274847714,1667.2277227468476,19,5.915297918347588,5.914852424682563
medium_rounded,0.013,midarc_rim,3,5.0,-169.70562748477144,-169.70562748477138,1667.227722665349,19,5.915234635606778,5.914789481487823
medium_rounded,0.013,midarc_rim,4,5.0,169.70562748477136,-169.70562748477144,1214.5147523528753,14,6.186042128269369,6.185845664889155
medium_rounded,0.013,midarc_rim,1,10.0,169.7056274847714,169.70562748477138,6407.5458564194805,83,5.8410745448576815,5.837871290145062
medium_rounded,0.013,midarc_rim,2,10.0,-169.70562748477138,169.7056274847714,6456.41171514365,84,5.908802525511412,5.9054835249827144
medium_rounded,0.013,midarc_rim,3,10.0,-169.70562748477144,-169.70562748477138,6456.411715040023,84,5.908709502921338,5.905393983115716
medium_rounded,0.013,midarc_rim,4,10.0,169.70562748477136,-169.70562748477144,6222.111546339222,82,5.816832346593089,5.813886875986188
medium_rounded,0.018,weighted_hub,1,5.0,-25.98076211353316,-15.0,1087.6045984223285,1231,29.339046718373787,28.250899763988834
medium_rounded,0.018,weighted_hub,2,5.0,-25.98076211353316,15.0,1095.367412710421,1224,29.184461594034858,28.099179788488332
medium_rounded,0.018,weighted_hub,3,5.0,25.98076211353316,-15.0,1078.7168978418604,1277,29.13516293241472,28.053405089865446
medium_rounded,0.018,weighted_hub,4,5.0,25.98076211353316,15.0,1176.2290159973231,1242,29.07567867145078,27.986439049338674
medium_rounded,0.018,weighted_hub,1,10.0,-25.98076211353316,-15.0,4057.231000325095,4150,25.43395837557246,24.4178917099706
medium_rounded,0.018,weighted_hub,2,10.0,-25.98076211353316,15.0,4086.8574476031563,4334,25.395925633452052,24.384069458512165
medium_rounded,0.018,weighted_hub,3,10.0,25.98076211353316,-15.0,3942.810565023587,4128,25.33975347144765,24.316720098500035
medium_rounded,0.018,weighted_hub,4,10.0,25.98076211353316,15.0,3901.6775763140167,4247,25.377338908229458,24.3590496682483
medium_rounded,0.018,inner_insert_boss,1,5.0,-152.30303992915273,-15.0,1222.6785331191027,188,25.63769315807591,24.41401811876119
