stage,id,tones,group_bits,group_symbols,carrier_hz,packets,errors,ber,span_hz,symbol_s,torque_ratio_to_published,pruned_states,numerical_checks,max_block_s,max_latency_s
screen,M9_g2b6_spanT0.4_f18,9,6,2,18.0,4,442,0.49330357142857145,0.26071428571428573,1.5342465753424657,0.270741248793375,5249274,False,0.8936499999836087,224.21475049998844
screen,M9_g2b6_spanT0.4_f24,9,6,2,24.0,4,446,0.49776785714285715,0.26071428571428573,1.5342465753424657,0.270741248793375,5362428,False,0.9380183999892324,224.2168374999892
screen,M9_g2b6_spanT0.8_f18,9,6,2,18.0,4,464,0.5178571428571429,0.5214285714285715,1.5342465753424657,0.54148249758675,4181097,False,0.8550682999775745,224.21362579998095
screen,M9_g2b6_spanT0.8_f24,9,6,2,24.0,4,459,0.5122767857142857,0.5214285714285715,1.5342465753424657,0.54148249758675,4261594,False,0.8723955000168644,224.11583169997903
screen,M9_g2b6_spanT1.2_f18,9,6,2,18.0,4,0,0.0,0.782142857142857,1.5342465753424657,0.812223746380125,12663544,False,0.8143659000052139,224.12846879998688
screen,M9_g2b6_spanT1.2_f24,9,6,2,24.0,4,0,0.0,0.782142857142857,1.5342465753424657,0.812223746380125,12658509,False,0.8406096000107937,224.12841900001513
screen,M9_g2b6_spanT1.6_f18,9,6,2,18.0,4,0,0.0,1.042857142857143,1.5342465753424657,1.0829649951735,0,True,0.48364170000422746,224.0920661999844
screen,M9_g2b6_spanT1.6_f24,9,6,2,24.0,4,0,0.0,1.042857142857143,1.5342465753424657,1.0829649951735,0,True,0.48987599997781217,224.09927430003881
screen,M2_g1b1_spanT0.2_f18,2,1,1,18.0,4,59,0.06584821428571429,0.35892857142857143,0.5572139303482587,1.026291723822588,0,True,0.00519449997227639,224.00617419998161
screen,M2_g1b1_spanT0.2_f24,2,1,1,24.0,4,97,0.10825892857142858,0.35892857142857143,0.5572139303482587,1.026291723822588,0,True,0.005362999974749982,224.00622999994084
screen,M4_g1b2_spanT0.6_f18,4,2,1,18.0,4,0,0.0,0.5624999999999999,1.0666666666666667,0.8401920438957474,0,True,0.02138699998613447,224.0093354000128
screen,M4_g1b2_spanT0.6_f24,4,2,1,24.0,4,0,0.0,0.5624999999999999,1.0666666666666667,0.8401920438957474,0,True,0.014738300000317395,224.0068867999944
screen,M6_g2b5_spanT1_f18,6,5,2,18.0,4,0,0.0,0.7678571428571428,1.302325581395349,0.9393893207336278,0,True,0.07329560001380742,224.01392400002806
screen,M6_g2b5_spanT1_f24,6,5,2,24.0,4,0,0.0,0.7678571428571428,1.302325581395349,0.9393893207336278,0,True,0.07267940003657714,224.0139758999576
screen,M8_g1b3_spanT1.4_f18,8,3,1,18.0,4,0,0.0,0.9125000000000001,1.5342465753424657,0.9475943707768125,0,True,0.42113870003959164,224.12735849997262
screen,M8_g1b3_spanT1.4_f24,8,3,1,24.0,4,0,0.0,0.9125000000000001,1.5342465753424657,0.9475943707768125,0,True,0.4218064000015147,224.12343969999347
confirm,M3_g2b3_spanT0.8_f18,3,3,2,18.0,32,0,0.0,0.9785714285714288,0.8175182481751825,1.9071279784585684,0,True,0.030181000009179115,224.00691100000404
confirm,M4_g1b2_spanT0.6_f18,4,2,1,18.0,32,0,0.0,0.5624999999999999,1.0666666666666667,0.8401920438957474,0,True,0.051031599985435605,224.02382019994548
confirm,M4_g1b2_spanT0.6_f24,4,2,1,24.0,32,0,0.0,0.5624999999999999,1.0666666666666667,0.8401920438957474,0,True,0.06085429998347536,224.0268148999312
confirm,M5_g4b9_spanT0.8_f18,5,9,4,18.0,32,0,0.0,0.6785714285714287,1.1789473684210525,0.9170350048265002,0,True,0.056957900000270456,224.0203750000219
confirm,M5_g4b9_spanT0.8_f24,5,9,4,24.0,32,0,0.0,0.6785714285714287,1.1789473684210525,0.9170350048265002,0,True,0.06449309998424724,224.02373810001882
confirm,M7_g3b8_spanT1.2_f18,7,8,3,18.0,32,0,0.0,0.8678571428571429,1.382716049382716,1.0,0,True,0.22625080001307651,224.05057780002244
confirm,M7_g3b8_spanT1.2_f24,7,8,3,24.0,32,2,0.00027901785714285713,0.8678571428571429,1.382716049382716,1.0,0,True,0.2108942999620922,224.05773950007278
confirm,M7_g4b11_spanT1.2_f18,7,11,4,18.0,32,0,0.0,0.8464285714285713,1.4177215189873418,0.9512269471117206,0,True,0.22647210001014173,224.03206280001905
confirm,M7_g4b11_spanT1.2_f24,7,11,4,24.0,32,0,0.0,0.8464285714285713,1.4177215189873418,0.9512269471117206,0,True,0.19969330000458285,224.03620179998688
confirm,M8_g1b3_spanT1.4_f18,8,3,1,18.0,32,0,0.0,0.9125000000000001,1.5342465753424657,0.9475943707768125,0,True,0.26082490000408143,224.08874089998426
confirm,M8_g1b3_spanT1.4_f24,8,3,1,24.0,32,0,0.0,0.9125000000000001,1.5342465753424657,0.9475943707768125,0,True,0.27687479997985065,224.09201379999286
